Year,Date,Bed,Bath,Sqft,price,Address
2015,09-May-15,5,2,2016,1288000,2312 Oliver Crescent
2015,23-Jul-15,5,2,2400,1290000,2415 Kaslo Street
2015,03-Apr-15,6,6,4110,4360000,3749 West 11TH Avenue
2015,03-Apr-15,6,4,4053,2390000,625 West 54TH Avenue
2015,04-May-15,6,2,1600,919800,1779 East 34TH Avenue
2015,24-May-15,6,2,3458,2488000,3503 West 42nd Avenue
2015,16-Sep-15,6,3,2730,2088000,5556 Alma Street
2015,19-Dec-15,6,3,3500,3188000,1459 West 41st Avenue
2015,18-Mar-15,6,3,2697,930000,3015 East 14th Avenue
2015,27-Apr-15,6,2,1600,919800,5871 Boundary Road
2015,09-May-15,6,7,4884,3680000,3465 West 20th Avenue
2015,17-Jul-15,6,4,2147,1488000,1536 East 49th Avenue
2015,03-Mar-15,7,6,5511,4380000,6550 East Bv
2015,03-Apr-15,7,6,3265,1758888,1455 East 61ST Avenue
2015,27-Jun-15,7,5,3122,2598000,4279 Doncaster Way
2015,19-Oct-15,7,7,5160,3950000,1182 W. KING EDWARD Avenue
2015,22-Oct-15,7,5,3864,2399000,2111 SW Marine Drive
2015,07-Feb-15,7,4,3465,2298000,3362 West 30th Avenue
2015,09-May-15,7,4,2914,1398000,5966 Oak Street
2015,09-May-15,7,7,2515,839000,2688 West 39th Avenue
2015,09-May-15,7,5,3539,1495000,6088 Churchill Street
2015,09-May-15,7,4,4175,1298888,1496 Mcrae Avenue
2016,24-Mar-16,2,3,1228,1179000,1805 West 11th Avenue
2016,07-Nov-16,2,1,1706,1228000,1956 Graveley Street
2016,06-Oct-16,2,3,2519,5950000,1128 West Georgia St
2016,30-Mar-16,2,2,984,669000,1-1250 W 6th Avenue
2016,20-Mar-16,2,1,1058,888000,2540 Spruce Street
2016,08-Apr-16,2,4,1578,1288000,2-2820 W 41st Avenue
2016,17-Apr-16,2,3,1759,1888000,2595 W 1st Avenue
2016,17-Apr-16,2,2,921,689900,645 W 7th Avenue
2016,17-Apr-16,2,2,1322,988000,1845 W 11th Avenue
2016,11-May-16,2,1,1998,1398000,2652 Franklin Street
2016,30-Aug-16,3,2,1927,1388000,2206 Mcbain Avenue
2016,30-Aug-16,3,3,1522,1098000,1810 E Pender Street
2016,13-Mar-16,3,3,2479,2998800,6568 Vine Street
2016,20-Jun-16,3,2,1421,1248000,8456 Hudson Street
2016,23-Aug-16,3,2,1313,419000,3456 Nairn Avenue
2016,30-Mar-16,3,2,2200,2700000,759 W 50th Avenue
2016,01-Apr-16,3,1,2051,1468000,4257 Beatrice Street
2016,08-Apr-16,3,2,2328,1688000,1360 Graveley Street
2016,17-Apr-16,3,3,2760,2168000,2624 W 3rd Avenue
2016,24-Apr-16,3,2,2031,3500000,426 BEACH CRESCENT
2016,30-Aug-16,4,2,2400,5000000,3538 W 29th Avenue
2016,30-Aug-16,4,2,1526,1199000,3234 Adanac Street
2016,30-Aug-16,4,3,2720,3885000,403 Beach Crescent
2016,19-Nov-16,4,2,1500,1648000,2750 E 1st Avenue
2016,06-Jan-16,4,3,2101,1298800,5140 Windsor St
2016,17-Sep-16,4,1,1810,1399999,2048 EAST 28TH AVENUE
2016,30-Jul-16,4,3,2201,1399000,2511 Trinity Street
2016,30-Mar-16,4,2,2464,1299000,2843 Woodland Drive
2016,13-Mar-16,4,2,1825,1398000,1440 E King Edward Avenue
2016,20-Mar-16,4,2,2352,2398000,8555 Montcalm Street
2016,30-Aug-16,5,2,2760,2198800,3409 Arbutus Street
2016,30-Aug-16,5,4,4145,7688000,2075 W 19th Avenue
2016,13-Mar-16,5,2,2080,1288000,1960 E 52nd Avenue
2016,01-Apr-16,5,5,4592,7380000,1550 W 29th Avenue
2016,30-Mar-16,5,4,4536,3988000,6141 St. Clair Place
2016,20-Jun-16,5,2,3015,4688000,2080 W 35th Avenue
2016,28-Feb-16,5,6,3895,3498000,77 West 28th Avenue
2016,21-May-16,5,3,3531,2638000,3811 West 51st Avenue
2016,21-May-16,5,5,3934,4380000,5578 Elizabeth St
2016,29-Jun-16,5,3,2399,1985000,2560 Garden Drive
2016,30-Aug-16,6,2,2250,1649000,5583 Fleming Street
2016,30-Aug-16,6,4,3750,1880000,7761 Munroe Crescent
2016,30-Aug-16,6,7,4236,5888000,2438 W 18th Avenue
2016,30-Aug-16,6,3,2480,2288000,4930 Dunbar Street
2016,20-May-16,6,3,2655,3088000,4177 W 12th Avenue
2016,01-Apr-16,6,3,3254,2388000,4048 W 17th Avenue
2016,06-Jan-16,6,3,3610,3188000,1449 West 41st Avenue
2016,15-Aug-16,6,4,3200,859900,800 Main Street
2016,29-May-16,6,5,3020,2788000,2206 E 54th Avenue
2016,10-Mar-16,6,2,2301,950000,946 E 54th Avenue
2016,30-Aug-16,7,5,3168,2000000,2178 E 49th Avenue
2016,30-Aug-16,7,3,2661,1999000,1424 E 13th Avenue
2016,28-Feb-16,7,3,2700,1098000,1210 E 12th Ave
2016,29-Sep-16,7,6,11019,11988000,1526 Angus Drive
2016,30-Jul-16,7,4,3819,4880000,4171 Doncaster Way
2016,13-Mar-16,7,4,3340,3288000,3308 W 37th Avenue
2016,21-Mar-16,7,3,2800,1436000,4119 Nanaimo Street
2016,08-Apr-16,7,7,5907,5988000,705 W 54th Avenue
2016,27-Apr-16,7,6,3731,4560000,2376 W 22nd Avenue
2016,23-Aug-16,7,8,5317,2588000,753 E 54th Avenue
2017,01-Apr-17,2,2,1776,1549000,2212 Spruce Street
2017,02-May-17,2,1,6039,1670000,855 19th Avenue
2017,16-Jul-17,2,1,1550,1680000,870 E 58 AVENUE
2017,03-Feb-17,2,2,1114,769900,104-1477 Fountain Way
2017,01-Feb-17,2,1,1516,1946200,50 E 60th Avenue
2017,01-Jan-17,2,3,1222,890000,24-1863 Wesbrook Mall
2017,01-Jan-17,2,2,903,750000,7025 Mont Royal Square
2017,01-Jan-17,2,2,1631,1598000,6538 Pinehurst Drive
2017,26-Sep-17,2,1,900,1298800,2059 Charles Street
2017,24-Apr-17,2,1,963,799000,1585 Mariner Walk
2017,01-Apr-17,3,3,1439,1586000,3750 Fraser Street
2017,01-Apr-17,3,2,2480,1349000,3085 20th Avenue E
2017,01-Apr-17,3,4,3968,5695000,4675 6th Avenue W
2017,01-Apr-17,3,3,1439,1586000,3752 Fraser Street
2017,02-May-17,3,4,2702,1725000,2261 Gisby Street
2017,01-Feb-17,3,3,2950,3498000,3336 W 35th Avenue
2017,01-Feb-17,3,2,3018,3599000,2403 W 37 Avenue
2017,01-Feb-17,3,1,1600,1198000,2829 E Pender Street
2017,16-Jul-17,3,2,1262,1398000,61 East 23rd Avenue
2017,16-Jul-17,3,3,1589,2375000,1312 Maple Street
2017,02-May-17,4,3,2468,2649000,3081 29th Avenue
2017,02-May-17,4,3,2291,2488000,160 59th Avenue
2017,19-May-17,4,3,2122,1998000,347 E 28th Avenue
2017,01-Feb-17,4,2,1744,2238000,5681 Ontario Street
2017,01-Feb-17,4,3,2665,5890000,4086 W 13th Avenue
2017,05-Jun-17,4,4,2414,2395000,2718 W 15TH AVENUE
2017,01-Feb-17,4,3,2454,1420000,5442 Killarney Street
2017,03-Feb-17,4,3,2427,1388000,2050 E 45th Avenue
2017,03-Feb-17,4,4,4212,4988000,5588 Crown Street
2017,03-Feb-17,4,2,1744,2098000,5681 Ontario Street
2017,01-Apr-17,5,3,2405,1738000,1115 60th Avenue E
