Year,Bed,Bath,Sqft,price
2017,7,4,3084,1750000
2017,7,3,4288,4588000
2017,7,8,7931,13880000
2017,7,4,3000,1768000
2017,7,3,2930,2888000
2017,7,8,6005,6980000
2017,7,7,3419,2688000
2017,7,3,4288,4588000
2017,7,6,2000,2188000
2018,2,2,1233,1398000
2018,2,3,1620,1250000
2018,2,3,1635,1268000
2018,2,2,2726,2750000
2018,2,3,1208,1189000
2018,2,3,1067,1249000
2018,2,1,913,799900
2018,2,3,1379,2350000
2018,2,1,995,875000
2018,2,2,1800,1126000
2018,3,3,2359,2888000
2018,3,2,1566,4900000
2018,3,3,1594,1699000
2018,3,2,2337,2880000
2018,3,1,1600,1350000
2018,3,4,1782,1998000
2018,3,2,1503,1299900
2018,3,1,1288,1498000
2018,3,3,1617,1788800
2018,3,3,1994,1998000
2018,4,3,2028,1958000
2018,4,4,2463,1599000
2018,4,3,1606,1039000
2018,4,6,5950,9500000
2018,4,4,4702,8798000
2018,4,4,2375,3398000
2018,4,3,2264,2498000
2018,4,4,2820,3498000
2018,4,3,2028,1958000
2018,4,2,2568,3480000
2018,5,3,2253,2550000
2018,5,6,3278,4188000
2018,5,2,1869,3799900
2018,5,3,2171,2289000
2018,5,2,2777,1868000
2018,5,5,4314,3988000
2018,5,4,3227,4188000
2018,5,3,2013,2398000
2018,5,2,2120,1598000
2018,5,6,5820,7780000
2018,6,2,2596,1848000
2018,6,2,2068,1568000
2018,6,5,5180,6988000
2018,6,5,3892,2588000
2018,6,4,2667,1858000
2018,6,4,3495,3588000
2018,6,3,3822,3523000
2018,6,5,3489,3588000
2018,6,2,2062,3000000
2018,6,4,2814,2680000
2018,7,7,3342,2198000
2018,7,4,2902,1698000
2018,7,2,2074,1459900
2018,7,4,4098,2838000
2018,7,5,5793,9980000
2018,7,6,3178,2290000
2018,7,7,5083,5399000
2018,7,3,1811,1888000
2018,7,2,3423,1299000
2018,7,5,3573,2598000
2019,2,3,1312,1298000
2019,2,2,1238,2098000
2019,2,2,1064,779000
2019,2,4,4880,4698000
2019,2,2,1607,2798000
2019,2,3,1600,2830000
2019,2,3,1334,1598000
2019,2,2,1125,1148000
2019,2,2,1374,1275000
2019,2,3,1633,2250000
2019,3,3,1475,1399000
2019,3,2,2144,2998000
2019,3,1,1205,1058800
2019,3,4,1635,1288000
2019,3,4,3565,5500000
2019,3,1,680,998000
2019,3,2,2700,7500000
2019,3,3,2400,2299000
2019,3,3,1525,2098000
2019,3,3,1568,1099000
2019,4,4,1791,1389000
