Year,Date,Bed,Bath,Sqft,price,Address
2015,02-Mar-15,1,2,1050,975000,#702 1835 Morton Avenue
2015,02-Mar-15,1,1,638,329000,#307 2008 East 54th Avenue
2015,02-Mar-15,1,1,692,294900,#207 1540 East 4th Avenue
2015,03-Apr-15,1,1,762,479000,#302 1438 West 7TH Avenue
2015,03-Apr-15,1,1,740,610000,#3301 1495 RICHARDS Street
2015,03-Apr-15,1,1,575,419500,#405 2195 West 5TH Avenue
2015,17-Apr-15,1,1,675,300000,#207 725 Commercial Drive
2015,17-Apr-15,1,1,689,399800,#216 1405 West 15th Avenue
2015,04-May-15,1,1,675,357000,#207 2355 West BROADWAY
2015,04-May-15,1,2,1111,849900,#504 310 WATER Street
2015,04-May-15,1,1,640,378900,#307 1345 West 15TH Avenue
2015,12-May-15,1,2,1215,910000,#103 4900 Cartier Street
2015,12-May-15,1,1,973,515000,#205 1502 Island Park Walk
2015,06-Aug-15,1,1,615,349000,#1203 1100 Harwood Street
2015,06-Aug-15,1,2,760,678000,#402 1499 West Pender Street
2015,07-Sep-15,1,1,650,177200,#311 3591 Oak Street
2015,07-Sep-15,1,1,614,449800,#601 909 Mainland Street
2015,15-Nov-15,1,1,645,388000,#301 1718 Venables Street
2015,04-Feb-15,1,1,660,418000,#202 962 West 16th Avenue
2015,04-Feb-15,1,1,721,379900,#302 4550 Fraser Street
2015,18-Mar-15,1,1,770,484900,#307 1030 West Broadway
2015,18-Mar-15,1,1,671,358900,#317 1588 East Hastings Street
2015,24-Mar-15,1,1,671,354900,#216 1588 East Hastings Street
2015,06-Aug-15,1,1,527,335000,#201 4818 Eldorado Mews
2015,10-Apr-15,1,1,796,449000,#608 111 West Georgia Street
2015,10-Apr-15,1,1,848,379000,#1006 1188 Howe Street
2015,17-Jul-15,1,1,733,299900,#206 3731 West 6th Avenue
2015,22-Jul-15,1,1,740,329900,#103 2888 East 2nd Avenue
2015,01-Jan-15,2,2,980,510000,#301 2215 MCGILL Street
2015,01-Jan-15,2,2,1870,1590000,#PH3103 867 HAMILTON Street
2015,08-Feb-15,2,2,855,429000,#301 2239 St Catherines Street 
2015,02-Mar-15,2,2,1036,729000,#901 1570 West 7th Avenue
2015,02-Mar-15,2,2,880,639000,#2304 1155 Seymour Street
2015,02-Mar-15,2,2,787,548600,#306 2515 Ontario Street
